Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Traded_Value_lacs
230120,539584,1067436,799952,1.58,1.49,X ,12.64
230120,539593,7113,7113,3.72,3.91,XT,0.26
230120,539594,16677535,6687077,10.44,10.31,B ,698.13
230120,539597,52462,30107,470.05,456.95,A ,141.52
230120,539598,3432,2631,135.7,138.5,X ,3.57
230120,539607,2835,2835,14.3,13.62,X ,0.41
230120,539620,70233,58326,25.35,24.2,X ,14.79
230120,539621,449331,358623,1.28,1.26,X ,4.59
230120,539636,7920,5590,107.05,108.3,B ,5.98
230120,539658,376,154,2473.8,2477.15,A ,3.81
230120,539659,629,615,39.35,41.05,B ,0.24
230120,539660,11806,5191,1317.5,1351.2,A ,68.39
230120,539661,7777,7777,74.25,71.95,XT,5.77
230120,539662,7604,6060,18.4,18.4,X ,1.12
230120,539673,2218,2218,28.0,26.7,Z ,0.62
230120,539678,1899,878,179.05,178.05,B ,1.57
230120,539682,50,50,34.15,32.55,T ,0.02
230120,539686,3278,2652,380.4,381.9,B ,10.09
230120,539692,763,763,13.1,13.78,X ,0.1
230120,539697,330,330,7.02,6.69,X ,0.02
230120,539724,509,458,11.99,12.0,X ,0.05
230120,539725,174333,57550,129.35,128.1,B ,74.44
230120,539730,2950,1911,1051.15,1060.95,X ,20.09
230120,539742,5411,4782,25.1,24.9,B ,1.2
230120,539767,1793,1793,45.4,47.75,XT,0.81
230120,539773,766747,585264,3.68,3.78,X ,21.54
230120,539784,15,13,193.11,195.05,B ,0.03
230120,539785,40565,17721,46.25,45.55,B ,8.2
230120,539787,4784,1697,285.2,287.4,A ,4.84
230120,539788,4800,4800,53.5,53.0,M ,2.57
230120,539798,9788,9663,8.61,8.89,B ,0.83
230120,539799,77713,51990,114.95,108.55,B ,59.76
230120,539800,6554,6544,6.74,6.98,B ,0.44
230120,539807,3308574,1122846,18.55,17.8,A ,208.29
230120,539814,3851,3746,29.95,29.55,X ,1.12
230120,539834,1802,1671,32.85,32.65,X ,0.55
230120,539835,15235,12582,2.11,2.11,X ,0.27
230120,539837,17409,11847,1060.85,1005.0,B ,125.68
230120,539841,21041,9394,205.1,202.65,B ,19.27
230120,539844,30844,7670,127.2,126.35,A ,9.76
230120,539854,243,154,307.7,312.2,X ,0.47
230120,539871,2043,817,558.65,557.65,A ,4.56
230120,539872,4250,3203,413.95,407.6,B ,13.26
230120,539874,8258,1889,279.55,279.65,A ,5.28
230120,539875,497,496,86.9,84.85,X ,0.43
230120,539876,7881,2648,323.3,324.55,A ,8.56
230120,539883,102,76,1880.4,1894.95,B ,1.43
230120,539884,25002,17360,3.78,3.77,B ,0.66
230120,539889,16488,10050,100.05,100.9,B ,10.06
230120,539894,130545,76451,5.4,5.44,X ,4.13
230120,539910,44695,44695,3.36,3.2,XT,1.5
230120,539911,992,992,31.5,30.0,X ,0.31
230120,539917,2310936,1391543,11.89,11.76,B ,165.45
230120,539921,4090,4090,73.85,75.0,T ,3.02
230120,539938,666,326,68.55,68.3,X ,0.22
230120,539939,132327,85597,94.5,83.75,B ,80.89
